183,"Life of Brian",1979,8.1
184,"It Happened One Night",1934,8.1
185,"Relatos salvajes",2014,8.1
186,"Logan",2017,8.1
187,"Platoon",1986,8.1
188,"The Wages of Fear",1953,8.1
189,"Hotel Rwanda",2004,8.1
190,"Network",1976,8.1
191,"In the Name of the Father",1993,8.1
192,"Rush",2013,8.1
193,"Stand by Me",1986,8.1
194,"A Wednesday",2008,8.1
195,"Thor: Ragnarok",2017,8.1
196,"Ben-Hur",1959,8.1
197,"Persona",1966,8.1
198,"The Grand Budapest Hotel",2014,8.1
199,"The 400 Blows",1959,8.1
200,"Memories of Murder",2003,8.1
201,"Jurassic Park",1993,8.1
202,"12 Years a Slave",2013,8.1
203,"Mad Max: Fury Road",2015,8.1
204,"Million Dollar Baby",2004,8.1
205,"Spotlight",2015,8.1
206,"Stalker",1979,8.1
207,"The Truman Show",1998,8.1
208,"Amores Perros",2000,8.1
209,"Butch Cassidy and the Sundance Kid",1969,8.1
210,"Hachi: A Dog's Tale",2009,8.1
211,"Nausicaä of the Valley of the Wind",1984,8.1
212,"The Princess Bride",1987,8.1
213,"Before Sunrise",1995,8.1
214,"The Maltese Falcon",1941,8.1
215,"Paper Moon",1973,8.0
216,"The Nights of Cabiria",1957,8.0
217,"Prisoners",2013,8.0
218,"Harry Potter and the Deathly Hallows: Part 2",2011,8.0
219,"The Grapes of Wrath",1940,8.0
220,"Rocky",1976,8.0
221,"Catch Me If You Can",2002,8.0
222,"Touch of Evil",1958,8.0
223,"Diabolique",1955,8.0
224,"Gandhi",1982,8.0
225,"Monsters, Inc.",2001,8.0
226,"Donnie Darko",2001,8.0
227,"Barry Lyndon",1975,8.0
228,"Annie Hall",1977,8.0
229,"The Terminator",1984,8.0
230,"Star Wars: The Force Awakens",2015,8.0
231,"The Bourne Ultimatum",2007,8.0
232,"The Wizard of Oz",1939,8.0
233,"Groundhog Day",1993,8.0
234,"La Haine",1995,8.0
235,"Munna Bhai M.B.B.S.",2003,8.0
236,"8½",1963,8.0
237,"Jaws",1975,8.0
238,"The Best Years of Our Lives",1946,8.0
239,"Twelve Monkeys",1995,8.0
240,"Infernal Affairs",2002,8.0
241,"In the Mood for Love",2000,8.0
242,"The Help",2011,8.0
243,"Paris, Texas",1984,8.0
244,"Beauty and the Beast",1991,8.0
245,"Dead Poets Society",1989,8.0
246,"Ah-ga-ssi",2016,8.0
247,"The Battle of Algiers",1966,8.0
248,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8.0
249,"PK",2014,8.0
250,"Dog Day Afternoon",1975,8.0
